,number_of_reviews,price_range,ratingValue,name,street,city,state,zipcode
316,93,5.0,3.8,bistro turkuaz,1114 34th,Seattle,WA,98122
317,288,2.5,4.3,la rustica,4100 Beach Drive,Seattle,WA,98116
318,217,5.0,3.5,blue water taco grill,515 Queen Anne Avenue,Seattle,WA,98109
319,351,7.5,4.2,tup tim thai,118 West Mercer,Seattle,WA,98119
320,764,2.5,3.2,ramen tatsu-ya,1234 S Lamar,Austin,TX,78704
321,355,0.0,3.2,china chen,400 S Third St Downtown,San Jose,CA,95112
322,842,2.5,4.0,cafe flora,2901 East Madison,Seattle,WA,98112
323,320,5.0,3.3,east side king,2310 S Lamar Blvd Suite,Austin,TX,78704
324,250,2.5,3.9,frank’s oyster house & champagne parlor,2616 NE 55th,Seattle,WA,98105
325,147,2.5,3.9,ephesus ,5245 California Avenue,Seattle,WA,98136
326,993,5.0,4.1,extra virgin,259 W 4th St,New York,NY,10014
327,926,5.0,4.3,the farm on adderley,1108 Cortelyou,Brooklyn,NY,11218
328,320,2.5,3.9,il terrazzo carmine,411 1st Avenue,Seattle,WA,98104
329,483,0.0,4.8,the harvest vine,2701 East Madison,Seattle,WA,98112
330,1186,7.5,3.5,wild ginger,1401 3rd,Seattle,WA,98101
331,189,5.0,3.8,mykonos greek grill,310 NE 72nd,Seattle,WA,98115
332,903,5.0,3.8,kome sushi kitchen,4917 Airport,Austin,TX,78751
333,615,5.0,4.0,tee nee thai cuisine,1423 The Alameda St,San Jose,CA,95126
334,655,9.0,3.5,dry creek grill,1580 Hamilton Avenue,San Jose,CA,95125
335,224,20.0,3.6,old school bar & grill,401 E 6th,Austin,TX,78701
336,128,2.5,3.5,bombay grill indian ,3201 Bee Cave Road Suite,Austin,TX,78746
337,1090,7.5,4.1,clay pit,1601 The Bertram Building Guadalupe,Austin,TX,78701
338,237,7.5,3.8,siena ristorante toscano,6203 N Capital Of Texas Highway Buliding,Austin,TX,78731
339,166,0.0,3.9,voila! bistrot,2805 East Madison,Seattle,WA,98112
340,363,0.0,3.8,smarty pants,6017 Airport Way,Seattle,WA,98108
341,299,2.5,3.4,market grill,Pike Place Market 1509 Pike,Seattle,WA,98101
342,866,2.5,3.8,maison premiere,298 Bedford,Brooklyn,NY,11211
343,328,7.5,3.9,hudson,5000 East Marginal Way,Seattle,WA,98134
344,199,5.0,3.8,mioposto,3601 South McClellan,Seattle,WA,98144
