_id,ltable_ID,rtable_ID,ltable_name,ltable_address,ltable_ratingValue,ltable_price_range,ltable_number_of_reviews,rtable_name,rtable_address,rtable_ratingValue,rtable_price_range,rtable_number_of_reviews
132,201,1361,kuneho,1600 E 6th St Austin TX 78702,4.0,$91,17,kuneho,1600 E 6th St TX 78702,3.5,$225,17
133,204,1199,la catalana,3720 N 1st St San Jose CA 95134,4.0,$20,369,sendo sushi,3730 N 1st St San Jose CA 95134,3.3,$43,2
134,204,2041,la catalana,3720 N 1st St San Jose CA 95134,4.0,$20,369,la catalana,3720 N 1st St Suite A San Jose CA 95134,3.3,$90,1
135,204,2370,la catalana,3720 N 1st St San Jose CA 95134,4.0,$20,369,the castle,3730 N 1st St San Jose CA 95134,3.0,$30,1
136,209,171,babbo,110 Waverly Pl New York NY 10011,4.0,$91,2005,babbo,110 Waverly Place New York NY 10011,4.1,$150,108
137,209,231,babbo,110 Waverly Pl New York NY 10011,4.0,$91,2005,babbo,110 Waverly Place New York NY 10011,4.1,$150,108
138,211,1934,izakaya mew,53 W 35th St New York NY 10001,4.0,$20,1233,cho dang gol,55 W 35th St New York NY 10001,3.8,$60,19
139,212,656,jane,100 W Houston St New York NY 10012,4.0,$20,2534,jane,100 W Houston St New York NY 10012,4.2,$70,47
140,212,2254,jane,100 W Houston St New York NY 10012,4.0,$20,2534,miss lily's,132 W Houston St New York NY 10012,4.0,$75,31
141,212,2308,jane,100 W Houston St New York NY 10012,4.0,$20,2534,arturo's,106 W Houston St New York NY 10012,4.2,$50,16
142,217,1576,asian spicy curry pop-up,46 Mulberry St New York NY 10013,4.5,$5,82,angelo's of mulberry st.,146 Mulberry St New York NY 10013,4.2,$110,24
143,217,3143,asian spicy curry pop-up,46 Mulberry St New York NY 10013,4.5,$5,82,paesano of mulberry street,136 Mulberry St New York NY 10013,3.9,$60,19
144,219,785,shanghai asian manor,21 Mott St New York NY 10013,4.0,$20,966,peking duck house,28 Mott St New York NY 10013,4.0,$50,30
145,219,2328,shanghai asian manor,21 Mott St New York NY 10013,4.0,$20,966,hop kee,21 Mott St New York NY 10013,3.8,$30,14
146,219,3230,shanghai asian manor,21 Mott St New York NY 10013,4.0,$20,966,ping seafood ,22 Mott St New York NY 10013,3.7,$40,15
147,221,2226,distilled,211 W Broadway New York NY 10013,4.0,$20,565,pepolino ristorante,281 W Broadway New York NY 10013,4.1,$80,19
148,226,86,sj omogari korean ,154 Jackson St San Jose CA 95112,4.0,$20,1815,sj omogari,154 Jackson St San Jose CA 95112,4.4,$20,12
149,228,2136,nick the greek,1399 Lincoln Ave San Jose CA 95125,4.0,$5,51,dolcetto,1399 Lincoln Avenue San Jose CA 95125,2.8,$13,2
150,231,14,pizza antica,334 Santana Row San Jose CA 95128,4.0,$20,2165,pizza antica,334 Santana Row San Jose CA 95128,4.2,$45,11
151,231,24,pizza antica,334 Santana Row San Jose CA 95128,4.0,$20,2165,straits,333 Santana Row San Jose CA 95128,3.7,$40,11
152,231,109,pizza antica,334 Santana Row San Jose CA 95128,4.0,$20,2165,cocola bakery,333 Santana Row San Jose CA 95128,3.6,$30,6
153,236,2340,taboonette,30 E 13th St New York NY 10003,4.5,$20,612,the redhead,349 E 13th St New York NY 10003,3.8,$75,17
154,237,3215,bozu,296 Grand St Brooklyn NY 11211,4.0,$20,671,caracas arepa bar,291 Grand St Brooklyn NY 11211,4.0,$60,16
155,239,3026,le pif,465 W 23rd St New York NY 10011,4.5,$20,64,le zie,172 7th Avenue New York NY 10011,4.0,$110,12
156,241,1037,local & vine,282 Hudson St New York NY 10013,4.5,$20,20,ninja new york,25 Hudson St New York NY 10013,3.7,$90,29
157,245,2377,fish’s wild,4180 N 1st St San Jose CA 95134,3.5,$20,11,rok steakhouse,4130 N 1st St San Jose CA 95134,2.6,$30,1
158,246,1660,dan izakaya ,1306 Saratoga Ave San Jose CA 95129,4.0,$20,810,dan izakaya,1306 Saratoga Avenue San Jose CA 95129,-,$50,1
159,255,289,black bottle,2600 1st Ave Seattle WA 98121,4.0,$20,938,black bottle,2600 1st Avenue Seattle WA 98121,4.0,$50,44
160,256,69,salumi artisan cured meats,309 3rd Ave S Seattle WA 98104,4.5,$20,1181,salumi,309 3rd Avenue S Seattle WA 98104,4.5,$40,88
161,258,272,how to cook a wolf,2208 Queen Anne Ave N Seattle WA 98109,4.0,$45,708,how to cook a wolf,2208 Queen Anne Avenue North Seattle WA 98109,3.8,$60,56
162,262,1135,din tai fung,2621 NE 46th St Seattle WA 98105,4.0,$20,1349,din tai fung,2621 NE 46th St WA 98105,3.7,$45,29
163,263,3185,le’s deli & bakery,4219 S Othello St Seattle WA 98118,4.5,$5,19,huarachitos cocina mexicana,4219 S Othello St Seattle WA 98118,3.6,$40,11
164,266,1889,sophia’s,500 W 6th St Austin TX 78701,4.0,$45,80,fixe,500 W 5th St Austin TX 78701,3.0,$75,4
165,266,2983,sophia’s,500 W 6th St Austin TX 78701,4.0,$45,80,wu chow,500 W 5th St Austin TX 78701,-,$25,3
166,268,515,gus’s world famous fried chicken,117 San Jacinto Blvd Austin TX 78701,4.0,$5,984,gus's world famous fried chicken,117 San Jacinto Blvd TX 78701,3.6,$25,19
167,268,899,gus’s world famous fried chicken,117 San Jacinto Blvd Austin TX 78701,4.0,$5,984,scholz garten,1607 San Jacinto Blvd Austin TX 78701,3.6,$40,17
168,268,1632,gus’s world famous fried chicken,117 San Jacinto Blvd Austin TX 78701,4.0,$5,984,the backspace,507 San Jacinto Blvd Austin TX 78701,3.6,$75,15
169,270,860,snooze - an am eatery,1700 S Lamar Blvd Austin TX 78704,4.0,$20,361,gourdough's public house,2700 S Lamar Blvd Austin TX 78704,3.7,$40,18
170,271,1151,six seven,2411 Alaskan Way Seattle WA 98121,4.0,$45,627,six seven,Edgewater Hotel 2411 Alaskan Way Seattle WA 98121,3.6,$70,36
171,272,1896,blue dahlia bistro,3663 Bee Caves Rd Austin TX 78746,4.0,$20,141,blue dahlia bistro,3663 Bee Cave Road Austin TX 78746,3.5,$50,12
172,274,1002,aqua by el gaucho,2801 Alaskan Way Seattle WA 98121,4.0,$91,648,aqua by el gaucho,Pier 70 2801 Alaskan Way Seattle WA 98121,3.6,$150,34
173,275,236,palace kitchen,2030 5th Ave Seattle WA 98121,4.0,$20,915,palace kitchen,2030 5th Avenue Seattle WA 98121,4.1,$90,62
174,276,244,revel,403 N 36th St Seattle WA 98103,4.0,$20,1034,revel,403 North 36th St Seattle WA 98103,4.2,$50,86
175,276,2073,revel,403 N 36th St Seattle WA 98103,4.0,$20,1034,qazis indian curry house,473 N 36th St Seattle WA 98103,3.7,$45,13
176,278,286,shiro’s,2401 2nd Ave Seattle WA 98121,4.5,$45,1448,shiro's,2401 2nd Avenue Seattle WA 98121,4.2,$50,47
